_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
1272,2001/02,S92000003,d,Total,d,1 - 7 days,11440
1273,2001/02,S92000003,d,Total,d,8 - 28 days,10885
1274,2001/02,S92000003,d,Total,d,29 days - 6 months,8545
1275,2001/02,S92000003,d,Total,d,> 6 months,2010
1276,2002/03,SB0801, ,SMR01, ,< 1 day,0
1277,2002/03,SB0801, ,SMR01, ,1 - 7 days,0
1278,2002/03,SB0801, ,SMR01, ,8 - 28 days,0
1279,2002/03,SB0801, ,SMR01, ,29 days - 6 months,0
1280,2002/03,SB0801, ,SMR01, ,> 6 months,0
1281,2002/03,SB0801, ,SMR04, ,< 1 day,0
1282,2002/03,SB0801, ,SMR04, ,1 - 7 days,0
1283,2002/03,SB0801, ,SMR04, ,8 - 28 days,0
1284,2002/03,SB0801, ,SMR04, ,29 days - 6 months,0
1285,2002/03,SB0801, ,SMR04, ,> 6 months,0
1286,2002/03,SB0801, ,Total,d,< 1 day,0
1287,2002/03,SB0801, ,Total,d,1 - 7 days,0
1288,2002/03,SB0801, ,Total,d,8 - 28 days,0
1289,2002/03,SB0801, ,Total,d,29 days - 6 months,0
1290,2002/03,SB0801, ,Total,d,> 6 months,0
1291,2002/03,S08000015, ,SMR01, ,< 1 day,210
1292,2002/03,S08000015, ,SMR01, ,1 - 7 days,375
1293,2002/03,S08000015, ,SMR01, ,8 - 28 days,110
1294,2002/03,S08000015, ,SMR01, ,29 days - 6 months,55
1295,2002/03,S08000015, ,SMR01, ,> 6 months,0
1296,2002/03,S08000015, ,SMR04, ,< 1 day,35
1297,2002/03,S08000015, ,SMR04, ,1 - 7 days,510
1298,2002/03,S08000015, ,SMR04, ,8 - 28 days,690
1299,2002/03,S08000015, ,SMR04, ,29 days - 6 months,590
1300,2002/03,S08000015, ,SMR04, ,> 6 months,130
1301,2002/03,S08000015, ,Total,d,< 1 day,245
1302,2002/03,S08000015, ,Total,d,1 - 7 days,885
1303,2002/03,S08000015, ,Total,d,8 - 28 days,805
1304,2002/03,S08000015, ,Total,d,29 days - 6 months,645
1305,2002/03,S08000015, ,Total,d,> 6 months,130
1306,2002/03,S08000016, ,SMR01, ,< 1 day,70
1307,2002/03,S08000016, ,SMR01, ,1 - 7 days,130
1308,2002/03,S08000016, ,SMR01, ,8 - 28 days,50
1309,2002/03,S08000016, ,SMR01, ,29 days - 6 months,25
1310,2002/03,S08000016, ,SMR01, ,> 6 months,0
1311,2002/03,S08000016, ,SMR04, ,< 1 day,10
1312,2002/03,S08000016, ,SMR04, ,1 - 7 days,185
1313,2002/03,S08000016, ,SMR04, ,8 - 28 days,215
1314,2002/03,S08000016, ,SMR04, ,29 days - 6 months,155
1315,2002/03,S08000016, ,SMR04, ,> 6 months,50
1316,2002/03,S08000016, ,Total,d,< 1 day,75
1317,2002/03,S08000016, ,Total,d,1 - 7 days,315
1318,2002/03,S08000016, ,Total,d,8 - 28 days,265
1319,2002/03,S08000016, ,Total,d,29 days - 6 months,180
1320,2002/03,S08000016, ,Total,d,> 6 months,50
1321,2002/03,S08000017, ,SMR01, ,< 1 day,35
1322,2002/03,S08000017, ,SMR01, ,1 - 7 days,120
1323,2002/03,S08000017, ,SMR01, ,8 - 28 days,55
1324,2002/03,S08000017, ,SMR01, ,29 days - 6 months,20
1325,2002/03,S08000017, ,SMR01, ,> 6 months,0
1326,2002/03,S08000017, ,SMR04, ,< 1 day,20
1327,2002/03,S08000017, ,SMR04, ,1 - 7 days,235
1328,2002/03,S08000017, ,SMR04, ,8 - 28 days,205
1329,2002/03,S08000017, ,SMR04, ,29 days - 6 months,200
1330,2002/03,S08000017, ,SMR04, ,> 6 months,50
1331,2002/03,S08000017, ,Total,d,< 1 day,60
1332,2002/03,S08000017, ,Total,d,1 - 7 days,355
1333,2002/03,S08000017, ,Total,d,8 - 28 days,260
1334,2002/03,S08000017, ,Total,d,29 days - 6 months,220
1335,2002/03,S08000017, ,Total,d,> 6 months,50
1336,2002/03,S08000029, ,SMR01, ,< 1 day,60
1337,2002/03,S08000029, ,SMR01, ,1 - 7 days,105
1338,2002/03,S08000029, ,SMR01, ,8 - 28 days,55
1339,2002/03,S08000029, ,SMR01, ,29 days - 6 months,40
1340,2002/03,S08000029, ,SMR01, ,> 6 months,5
1341,2002/03,S08000029, ,SMR04, ,< 1 day,40
1342,2002/03,S08000029, ,SMR04, ,1 - 7 days,505
1343,2002/03,S08000029, ,SMR04, ,8 - 28 days,505
1344,2002/03,S08000029, ,SMR04, ,29 days - 6 months,460
1345,2002/03,S08000029, ,SMR04, ,> 6 months,130
1346,2002/03,S08000029, ,Total,d,< 1 day,100
1347,2002/03,S08000029, ,Total,d,1 - 7 days,615
1348,2002/03,S08000029, ,Total,d,8 - 28 days,560
1349,2002/03,S08000029, ,Total,d,29 days - 6 months,500
1350,2002/03,S08000029, ,Total,d,> 6 months,135
1351,2002/03,S08000019, ,SMR01, ,< 1 day,45
1352,2002/03,S08000019, ,SMR01, ,1 - 7 days,145
1353,2002/03,S08000019, ,SMR01, ,8 - 28 days,45
1354,2002/03,S08000019, ,SMR01, ,29 days - 6 months,30
1355,2002/03,S08000019, ,SMR01, ,> 6 months,0
1356,2002/03,S08000019, ,SMR04, ,< 1 day,75
1357,2002/03,S08000019, ,SMR04, ,1 - 7 days,255
1358,2002/03,S08000019, ,SMR04, ,8 - 28 days,390
1359,2002/03,S08000019, ,SMR04, ,29 days - 6 months,350
1360,2002/03,S08000019, ,SMR04, ,> 6 months,65
1361,2002/03,S08000019, ,Total,d,< 1 day,120
1362,2002/03,S08000019, ,Total,d,1 - 7 days,400
1363,2002/03,S08000019, ,Total,d,8 - 28 days,435
1364,2002/03,S08000019, ,Total,d,29 days - 6 months,380
1365,2002/03,S08000019, ,Total,d,> 6 months,65
1366,2002/03,S08000020, ,SMR01, ,< 1 day,160
1367,2002/03,S08000020, ,SMR01, ,1 - 7 days,435
1368,2002/03,S08000020, ,SMR01, ,8 - 28 days,155
1369,2002/03,S08000020, ,SMR01, ,29 days - 6 months,85
1370,2002/03,S08000020, ,SMR01, ,> 6 months,15
1371,2002/03,S08000020, ,SMR04, ,< 1 day,30
1372,2002/03,S08000020, ,SMR04, ,1 - 7 days,520
1373,2002/03,S08000020, ,SMR04, ,8 - 28 days,730
1374,2002/03,S08000020, ,SMR04, ,29 days - 6 months,625
1375,2002/03,S08000020, ,SMR04, ,> 6 months,185
1376,2002/03,S08000020, ,Total,d,< 1 day,190
1377,2002/03,S08000020, ,Total,d,1 - 7 days,960
1378,2002/03,S08000020, ,Total,d,8 - 28 days,890
1379,2002/03,S08000020, ,Total,d,29 days - 6 months,710
1380,2002/03,S08000020, ,Total,d,> 6 months,200
1381,2002/03,S08000031, ,SMR01, ,< 1 day,335
1382,2002/03,S08000031, ,SMR01, ,1 - 7 days,1255
1383,2002/03,S08000031, ,SMR01, ,8 - 28 days,420
1384,2002/03,S08000031, ,SMR01, ,29 days - 6 months,320
1385,2002/03,S08000031, ,SMR01, ,> 6 months,15
1386,2002/03,S08000031, ,SMR04, ,< 1 day,80
1387,2002/03,S08000031, ,SMR04, ,1 - 7 days,1640
1388,2002/03,S08000031, ,SMR04, ,8 - 28 days,2365
1389,2002/03,S08000031, ,SMR04, ,29 days - 6 months,2045
1390,2002/03,S08000031, ,SMR04, ,> 6 months,500
1391,2002/03,S08000031, ,Total,d,< 1 day,415
1392,2002/03,S08000031, ,Total,d,1 - 7 days,2900
1393,2002/03,S08000031, ,Total,d,8 - 28 days,2790
1394,2002/03,S08000031, ,Total,d,29 days - 6 months,2365
1395,2002/03,S08000031, ,Total,d,> 6 months,515
1396,2002/03,S08000022, ,SMR01, ,< 1 day,190
1397,2002/03,S08000022, ,SMR01, ,1 - 7 days,540
1398,2002/03,S08000022, ,SMR01, ,8 - 28 days,170
1399,2002/03,S08000022, ,SMR01, ,29 days - 6 months,65
1400,2002/03,S08000022, ,SMR01, ,> 6 months,15
1401,2002/03,S08000022, ,SMR04, ,< 1 day,40
1402,2002/03,S08000022, ,SMR04, ,1 - 7 days,635
1403,2002/03,S08000022, ,SMR04, ,8 - 28 days,715
1404,2002/03,S08000022, ,SMR04, ,29 days - 6 months,425
1405,2002/03,S08000022, ,SMR04, ,> 6 months,95
1406,2002/03,S08000022, ,Total,d,< 1 day,230
1407,2002/03,S08000022, ,Total,d,1 - 7 days,1175
1408,2002/03,S08000022, ,Total,d,8 - 28 days,885
1409,2002/03,S08000022, ,Total,d,29 days - 6 months,490
1410,2002/03,S08000022, ,Total,d,> 6 months,110
1411,2002/03,S08000032, ,SMR01, ,< 1 day,175
1412,2002/03,S08000032, ,SMR01, ,1 - 7 days,420
1413,2002/03,S08000032, ,SMR01, ,8 - 28 days,110
1414,2002/03,S08000032, ,SMR01, ,29 days - 6 months,55
1415,2002/03,S08000032, ,SMR01, ,> 6 months,5
1416,2002/03,S08000032, ,SMR04, ,< 1 day,80
1417,2002/03,S08000032, ,SMR04, ,1 - 7 days,660
1418,2002/03,S08000032, ,SMR04, ,8 - 28 days,980
1419,2002/03,S08000032, ,SMR04, ,29 days - 6 months,815
1420,2002/03,S08000032, ,SMR04, ,> 6 months,135
1421,2002/03,S08000032, ,Total,d,< 1 day,255
1422,2002/03,S08000032, ,Total,d,1 - 7 days,1080
1423,2002/03,S08000032, ,Total,d,8 - 28 days,1090
1424,2002/03,S08000032, ,Total,d,29 days - 6 months,870
1425,2002/03,S08000032, ,Total,d,> 6 months,140
1426,2002/03,S08000024, ,SMR01, ,< 1 day,255
1427,2002/03,S08000024, ,SMR01, ,1 - 7 days,525
1428,2002/03,S08000024, ,SMR01, ,8 - 28 days,215
1429,2002/03,S08000024, ,SMR01, ,29 days - 6 months,175
1430,2002/03,S08000024, ,SMR01, ,> 6 months,5
1431,2002/03,S08000024, ,SMR04, ,< 1 day,80
1432,2002/03,S08000024, ,SMR04, ,1 - 7 days,1190
1433,2002/03,S08000024, ,SMR04, ,8 - 28 days,1700
1434,2002/03,S08000024, ,SMR04, ,29 days - 6 months,1200
1435,2002/03,S08000024, ,SMR04, ,> 6 months,280
1436,2002/03,S08000024, ,Total,d,< 1 day,335
1437,2002/03,S08000024, ,Total,d,1 - 7 days,1710
1438,2002/03,S08000024, ,Total,d,8 - 28 days,1915
1439,2002/03,S08000024, ,Total,d,29 days - 6 months,1375
1440,2002/03,S08000024, ,Total,d,> 6 months,285
1441,2002/03,S08000025, ,SMR01, ,< 1 day,25
1442,2002/03,S08000025, ,SMR01, ,1 - 7 days,35
1443,2002/03,S08000025, ,SMR01, ,8 - 28 days,5
1444,2002/03,S08000025, ,SMR01, ,29 days - 6 months,0
1445,2002/03,S08000025, ,SMR01, ,> 6 months,5
1446,2002/03,S08000025, ,SMR04, ,< 1 day,0
1447,2002/03,S08000025, ,SMR04, ,1 - 7 days,0
1448,2002/03,S08000025, ,SMR04, ,8 - 28 days,0
1449,2002/03,S08000025, ,SMR04, ,29 days - 6 months,0
1450,2002/03,S08000025, ,SMR04, ,> 6 months,0
1451,2002/03,S08000025, ,Total,d,< 1 day,25
1452,2002/03,S08000025, ,Total,d,1 - 7 days,35
1453,2002/03,S08000025, ,Total,d,8 - 28 days,5
1454,2002/03,S08000025, ,Total,d,29 days - 6 months,0
1455,2002/03,S08000025, ,Total,d,> 6 months,5
1456,2002/03,S08000026, ,SMR01, ,< 1 day,35
1457,2002/03,S08000026, ,SMR01, ,1 - 7 days,60
1458,2002/03,S08000026, ,SMR01, ,8 - 28 days,5
1459,2002/03,S08000026, ,SMR01, ,29 days - 6 months,0
1460,2002/03,S08000026, ,SMR01, ,> 6 months,0
1461,2002/03,S08000026, ,SMR04, ,< 1 day,0
1462,2002/03,S08000026, ,SMR04, ,1 - 7 days,0
1463,2002/03,S08000026, ,SMR04, ,8 - 28 days,0
1464,2002/03,S08000026, ,SMR04, ,29 days - 6 months,0
1465,2002/03,S08000026, ,SMR04, ,> 6 months,0
1466,2002/03,S08000026, ,Total,d,< 1 day,35
1467,2002/03,S08000026, ,Total,d,1 - 7 days,60
1468,2002/03,S08000026, ,Total,d,8 - 28 days,5
1469,2002/03,S08000026, ,Total,d,29 days - 6 months,0
1470,2002/03,S08000026, ,Total,d,> 6 months,0
1471,2002/03,S08000030, ,SMR01, ,< 1 day,140
1472,2002/03,S08000030, ,SMR01, ,1 - 7 days,200
1473,2002/03,S08000030, ,SMR01, ,8 - 28 days,75
1474,2002/03,S08000030, ,SMR01, ,29 days - 6 months,60
1475,2002/03,S08000030, ,SMR01, ,> 6 months,10
1476,2002/03,S08000030, ,SMR04, ,< 1 day,25
1477,2002/03,S08000030, ,SMR04, ,1 - 7 days,575
1478,2002/03,S08000030, ,SMR04, ,8 - 28 days,615
1479,2002/03,S08000030, ,SMR04, ,29 days - 6 months,680
1480,2002/03,S08000030, ,SMR04, ,> 6 months,200
1481,2002/03,S08000030, ,Total,d,< 1 day,165
1482,2002/03,S08000030, ,Total,d,1 - 7 days,775
1483,2002/03,S08000030, ,Total,d,8 - 28 days,690
1484,2002/03,S08000030, ,Total,d,29 days - 6 months,740
1485,2002/03,S08000030, ,Total,d,> 6 months,210
1486,2002/03,S08000028, ,SMR01, ,< 1 day,35
1487,2002/03,S08000028, ,SMR01, ,1 - 7 days,95
1488,2002/03,S08000028, ,SMR01, ,8 - 28 days,45
1489,2002/03,S08000028, ,SMR01, ,29 days - 6 months,5
1490,2002/03,S08000028, ,SMR01, ,> 6 months,0
1491,2002/03,S08000028, ,SMR04, ,< 1 day,0
1492,2002/03,S08000028, ,SMR04, ,1 - 7 days,20
1493,2002/03,S08000028, ,SMR04, ,8 - 28 days,105
1494,2002/03,S08000028, ,SMR04, ,29 days - 6 months,35
1495,2002/03,S08000028, ,SMR04, ,> 6 months,5
1496,2002/03,S08000028, ,Total,d,< 1 day,35
1497,2002/03,S08000028, ,Total,d,1 - 7 days,115
1498,2002/03,S08000028, ,Total,d,8 - 28 days,150
1499,2002/03,S08000028, ,Total,d,29 days - 6 months,40
1500,2002/03,S08000028, ,Total,d,> 6 months,10
1501,2002/03,SB0802, ,SMR01, ,< 1 day,0
1502,2002/03,SB0802, ,SMR01, ,1 - 7 days,0
1503,2002/03,SB0802, ,SMR01, ,8 - 28 days,0
1504,2002/03,SB0802, ,SMR01, ,29 days - 6 months,0
1505,2002/03,SB0802, ,SMR01, ,> 6 months,0
1506,2002/03,SB0802, ,SMR04, ,< 1 day,0
1507,2002/03,SB0802, ,SMR04, ,1 - 7 days,0
1508,2002/03,SB0802, ,SMR04, ,8 - 28 days,0
1509,2002/03,SB0802, ,SMR04, ,29 days - 6 months,10
1510,2002/03,SB0802, ,SMR04, ,> 6 months,20
1511,2002/03,SB0802, ,Total,d,< 1 day,0
1512,2002/03,SB0802, ,Total,d,1 - 7 days,0
1513,2002/03,SB0802, ,Total,d,8 - 28 days,0
1514,2002/03,SB0802, ,Total,d,29 days - 6 months,10
1515,2002/03,SB0802, ,Total,d,> 6 months,20
1516,2002/03,S92000003,d,SMR01, ,< 1 day,1765
1517,2002/03,S92000003,d,SMR01, ,1 - 7 days,4435
1518,2002/03,S92000003,d,SMR01, ,8 - 28 days,1520
1519,2002/03,S92000003,d,SMR01, ,29 days - 6 months,940
1520,2002/03,S92000003,d,SMR01, ,> 6 months,80
1521,2002/03,S92000003,d,SMR04, ,< 1 day,515
1522,2002/03,S92000003,d,SMR04, ,1 - 7 days,6940
1523,2002/03,S92000003,d,SMR04, ,8 - 28 days,9215
1524,2002/03,S92000003,d,SMR04, ,29 days - 6 months,7590
1525,2002/03,S92000003,d,SMR04, ,> 6 months,1845
1526,2002/03,S92000003,d,Total,d,< 1 day,2280
1527,2002/03,S92000003,d,Total,d,1 - 7 days,11380
1528,2002/03,S92000003,d,Total,d,8 - 28 days,10740
1529,2002/03,S92000003,d,Total,d,29 days - 6 months,8530
1530,2002/03,S92000003,d,Total,d,> 6 months,1925
1531,2003/04,SB0801, ,SMR01, ,< 1 day,0
1532,2003/04,SB0801, ,SMR01, ,1 - 7 days,0
1533,2003/04,SB0801, ,SMR01, ,8 - 28 days,0
1534,2003/04,SB0801, ,SMR01, ,29 days - 6 months,0
1535,2003/04,SB0801, ,SMR01, ,> 6 months,0
1536,2003/04,SB0801, ,SMR04, ,< 1 day,0
1537,2003/04,SB0801, ,SMR04, ,1 - 7 days,0
1538,2003/04,SB0801, ,SMR04, ,8 - 28 days,0
1539,2003/04,SB0801, ,SMR04, ,29 days - 6 months,0
1540,2003/04,SB0801, ,SMR04, ,> 6 months,0
1541,2003/04,SB0801, ,Total,d,< 1 day,0
1542,2003/04,SB0801, ,Total,d,1 - 7 days,0
1543,2003/04,SB0801, ,Total,d,8 - 28 days,0
1544,2003/04,SB0801, ,Total,d,29 days - 6 months,0
1545,2003/04,SB0801, ,Total,d,> 6 months,0
1546,2003/04,S08000015, ,SMR01, ,< 1 day,220
1547,2003/04,S08000015, ,SMR01, ,1 - 7 days,415
1548,2003/04,S08000015, ,SMR01, ,8 - 28 days,120
1549,2003/04,S08000015, ,SMR01, ,29 days - 6 months,35
1550,2003/04,S08000015, ,SMR01, ,> 6 months,0
1551,2003/04,S08000015, ,SMR04, ,< 1 day,50
1552,2003/04,S08000015, ,SMR04, ,1 - 7 days,530
1553,2003/04,S08000015, ,SMR04, ,8 - 28 days,615
1554,2003/04,S08000015, ,SMR04, ,29 days - 6 months,580
1555,2003/04,S08000015, ,SMR04, ,> 6 months,105
1556,2003/04,S08000015, ,Total,d,< 1 day,270
1557,2003/04,S08000015, ,Total,d,1 - 7 days,945
1558,2003/04,S08000015, ,Total,d,8 - 28 days,735
1559,2003/04,S08000015, ,Total,d,29 days - 6 months,615
1560,2003/04,S08000015, ,Total,d,> 6 months,105
1561,2003/04,S08000016, ,SMR01, ,< 1 day,55
1562,2003/04,S08000016, ,SMR01, ,1 - 7 days,120
1563,2003/04,S08000016, ,SMR01, ,8 - 28 days,55
1564,2003/04,S08000016, ,SMR01, ,29 days - 6 months,25
1565,2003/04,S08000016, ,SMR01, ,> 6 months,0
1566,2003/04,S08000016, ,SMR04, ,< 1 day,10
1567,2003/04,S08000016, ,SMR04, ,1 - 7 days,190
1568,2003/04,S08000016, ,SMR04, ,8 - 28 days,250
1569,2003/04,S08000016, ,SMR04, ,29 days - 6 months,175
1570,2003/04,S08000016, ,SMR04, ,> 6 months,45
1571,2003/04,S08000016, ,Total,d,< 1 day,60
1572,2003/04,S08000016, ,Total,d,1 - 7 days,310
1573,2003/04,S08000016, ,Total,d,8 - 28 days,310
1574,2003/04,S08000016, ,Total,d,29 days - 6 months,200
1575,2003/04,S08000016, ,Total,d,> 6 months,45
1576,2003/04,S08000017, ,SMR01, ,< 1 day,40
1577,2003/04,S08000017, ,SMR01, ,1 - 7 days,90
1578,2003/04,S08000017, ,SMR01, ,8 - 28 days,40
1579,2003/04,S08000017, ,SMR01, ,29 days - 6 months,15
1580,2003/04,S08000017, ,SMR01, ,> 6 months,0
1581,2003/04,S08000017, ,SMR04, ,< 1 day,15
1582,2003/04,S08000017, ,SMR04, ,1 - 7 days,225
1583,2003/04,S08000017, ,SMR04, ,8 - 28 days,205
1584,2003/04,S08000017, ,SMR04, ,29 days - 6 months,225
1585,2003/04,S08000017, ,SMR04, ,> 6 months,40
1586,2003/04,S08000017, ,Total,d,< 1 day,55
1587,2003/04,S08000017, ,Total,d,1 - 7 days,315
1588,2003/04,S08000017, ,Total,d,8 - 28 days,245
1589,2003/04,S08000017, ,Total,d,29 days - 6 months,240
1590,2003/04,S08000017, ,Total,d,> 6 months,40
1591,2003/04,S08000029, ,SMR01, ,< 1 day,60
1592,2003/04,S08000029, ,SMR01, ,1 - 7 days,115
1593,2003/04,S08000029, ,SMR01, ,8 - 28 days,40
1594,2003/04,S08000029, ,SMR01, ,29 days - 6 months,40
1595,2003/04,S08000029, ,SMR01, ,> 6 months,5
1596,2003/04,S08000029, ,SMR04, ,< 1 day,25
1597,2003/04,S08000029, ,SMR04, ,1 - 7 days,470
1598,2003/04,S08000029, ,SMR04, ,8 - 28 days,545
1599,2003/04,S08000029, ,SMR04, ,29 days - 6 months,420
1600,2003/04,S08000029, ,SMR04, ,> 6 months,95
1601,2003/04,S08000029, ,Total,d,< 1 day,85
1602,2003/04,S08000029, ,Total,d,1 - 7 days,585
1603,2003/04,S08000029, ,Total,d,8 - 28 days,585
1604,2003/04,S08000029, ,Total,d,29 days - 6 months,465
1605,2003/04,S08000029, ,Total,d,> 6 months,100
1606,2003/04,S08000019, ,SMR01, ,< 1 day,35
1607,2003/04,S08000019, ,SMR01, ,1 - 7 days,180
1608,2003/04,S08000019, ,SMR01, ,8 - 28 days,50
1609,2003/04,S08000019, ,SMR01, ,29 days - 6 months,35
1610,2003/04,S08000019, ,SMR01, ,> 6 months,0
1611,2003/04,S08000019, ,SMR04, ,< 1 day,75
1612,2003/04,S08000019, ,SMR04, ,1 - 7 days,230
1613,2003/04,S08000019, ,SMR04, ,8 - 28 days,380
1614,2003/04,S08000019, ,SMR04, ,29 days - 6 months,375
1615,2003/04,S08000019, ,SMR04, ,> 6 months,90
1616,2003/04,S08000019, ,Total,d,< 1 day,110
1617,2003/04,S08000019, ,Total,d,1 - 7 days,410
1618,2003/04,S08000019, ,Total,d,8 - 28 days,430
1619,2003/04,S08000019, ,Total,d,29 days - 6 months,410
1620,2003/04,S08000019, ,Total,d,> 6 months,90
1621,2003/04,S08000020, ,SMR01, ,< 1 day,120
1622,2003/04,S08000020, ,SMR01, ,1 - 7 days,415
1623,2003/04,S08000020, ,SMR01, ,8 - 28 days,180
1624,2003/04,S08000020, ,SMR01, ,29 days - 6 months,105
1625,2003/04,S08000020, ,SMR01, ,> 6 months,5
1626,2003/04,S08000020, ,SMR04, ,< 1 day,25
1627,2003/04,S08000020, ,SMR04, ,1 - 7 days,520
1628,2003/04,S08000020, ,SMR04, ,8 - 28 days,695
1629,2003/04,S08000020, ,SMR04, ,29 days - 6 months,660
1630,2003/04,S08000020, ,SMR04, ,> 6 months,195
1631,2003/04,S08000020, ,Total,d,< 1 day,145
1632,2003/04,S08000020, ,Total,d,1 - 7 days,935
1633,2003/04,S08000020, ,Total,d,8 - 28 days,875
1634,2003/04,S08000020, ,Total,d,29 days - 6 months,770
1635,2003/04,S08000020, ,Total,d,> 6 months,200
1636,2003/04,S08000031, ,SMR01, ,< 1 day,335
1637,2003/04,S08000031, ,SMR01, ,1 - 7 days,1260
1638,2003/04,S08000031, ,SMR01, ,8 - 28 days,505
1639,2003/04,S08000031, ,SMR01, ,29 days - 6 months,335
1640,2003/04,S08000031, ,SMR01, ,> 6 months,15
1641,2003/04,S08000031, ,SMR04, ,< 1 day,85
1642,2003/04,S08000031, ,SMR04, ,1 - 7 days,1500
1643,2003/04,S08000031, ,SMR04, ,8 - 28 days,2225
1644,2003/04,S08000031, ,SMR04, ,29 days - 6 months,1960
1645,2003/04,S08000031, ,SMR04, ,> 6 months,550
1646,2003/04,S08000031, ,Total,d,< 1 day,420
1647,2003/04,S08000031, ,Total,d,1 - 7 days,2760
1648,2003/04,S08000031, ,Total,d,8 - 28 days,2730
1649,2003/04,S08000031, ,Total,d,29 days - 6 months,2295
1650,2003/04,S08000031, ,Total,d,> 6 months,565
1651,2003/04,S08000022, ,SMR01, ,< 1 day,185
1652,2003/04,S08000022, ,SMR01, ,1 - 7 days,480
1653,2003/04,S08000022, ,SMR01, ,8 - 28 days,145
1654,2003/04,S08000022, ,SMR01, ,29 days - 6 months,80
1655,2003/04,S08000022, ,SMR01, ,> 6 months,20
1656,2003/04,S08000022, ,SMR04, ,< 1 day,30
1657,2003/04,S08000022, ,SMR04, ,1 - 7 days,545
1658,2003/04,S08000022, ,SMR04, ,8 - 28 days,655
1659,2003/04,S08000022, ,SMR04, ,29 days - 6 months,455
1660,2003/04,S08000022, ,SMR04, ,> 6 months,105
1661,2003/04,S08000022, ,Total,d,< 1 day,215
1662,2003/04,S08000022, ,Total,d,1 - 7 days,1025
1663,2003/04,S08000022, ,Total,d,8 - 28 days,800
1664,2003/04,S08000022, ,Total,d,29 days - 6 months,535
1665,2003/04,S08000022, ,Total,d,> 6 months,125
1666,2003/04,S08000032, ,SMR01, ,< 1 day,150
1667,2003/04,S08000032, ,SMR01, ,1 - 7 days,445
1668,2003/04,S08000032, ,SMR01, ,8 - 28 days,125
1669,2003/04,S08000032, ,SMR01, ,29 days - 6 months,75
1670,2003/04,S08000032, ,SMR01, ,> 6 months,5
1671,2003/04,S08000032, ,SMR04, ,< 1 day,55
1672,2003/04,S08000032, ,SMR04, ,1 - 7 days,615
1673,2003/04,S08000032, ,SMR04, ,8 - 28 days,940
1674,2003/04,S08000032, ,SMR04, ,29 days - 6 months,750
1675,2003/04,S08000032, ,SMR04, ,> 6 months,125
1676,2003/04,S08000032, ,Total,d,< 1 day,205
1677,2003/04,S08000032, ,Total,d,1 - 7 days,1060
1678,2003/04,S08000032, ,Total,d,8 - 28 days,1065
1679,2003/04,S08000032, ,Total,d,29 days - 6 months,825
1680,2003/04,S08000032, ,Total,d,> 6 months,130
1681,2003/04,S08000024, ,SMR01, ,< 1 day,235
1682,2003/04,S08000024, ,SMR01, ,1 - 7 days,520
1683,2003/04,S08000024, ,SMR01, ,8 - 28 days,200
1684,2003/04,S08000024, ,SMR01, ,29 days - 6 months,180
1685,2003/04,S08000024, ,SMR01, ,> 6 months,5
1686,2003/04,S08000024, ,SMR04, ,< 1 day,75
1687,2003/04,S08000024, ,SMR04, ,1 - 7 days,1015
1688,2003/04,S08000024, ,SMR04, ,8 - 28 days,1580
1689,2003/04,S08000024, ,SMR04, ,29 days - 6 months,1170
1690,2003/04,S08000024, ,SMR04, ,> 6 months,285
1691,2003/04,S08000024, ,Total,d,< 1 day,310
1692,2003/04,S08000024, ,Total,d,1 - 7 days,1530
1693,2003/04,S08000024, ,Total,d,8 - 28 days,1785
1694,2003/04,S08000024, ,Total,d,29 days - 6 months,1350
1695,2003/04,S08000024, ,Total,d,> 6 months,290
1696,2003/04,S08000025, ,SMR01, ,< 1 day,25
1697,2003/04,S08000025, ,SMR01, ,1 - 7 days,40
1698,2003/04,S08000025, ,SMR01, ,8 - 28 days,0
1699,2003/04,S08000025, ,SMR01, ,29 days - 6 months,5
1700,2003/04,S08000025, ,SMR01, ,> 6 months,0
1701,2003/04,S08000025, ,SMR04, ,< 1 day,0
1702,2003/04,S08000025, ,SMR04, ,1 - 7 days,0
1703,2003/04,S08000025, ,SMR04, ,8 - 28 days,0
1704,2003/04,S08000025, ,SMR04, ,29 days - 6 months,0
1705,2003/04,S08000025, ,SMR04, ,> 6 months,0
1706,2003/04,S08000025, ,Total,d,< 1 day,25
1707,2003/04,S08000025, ,Total,d,1 - 7 days,40
1708,2003/04,S08000025, ,Total,d,8 - 28 days,0
1709,2003/04,S08000025, ,Total,d,29 days - 6 months,5
1710,2003/04,S08000025, ,Total,d,> 6 months,0
1711,2003/04,S08000026, ,SMR01, ,< 1 day,40
1712,2003/04,S08000026, ,SMR01, ,1 - 7 days,40
1713,2003/04,S08000026, ,SMR01, ,8 - 28 days,5
1714,2003/04,S08000026, ,SMR01, ,29 days - 6 months,0
1715,2003/04,S08000026, ,SMR01, ,> 6 months,0
1716,2003/04,S08000026, ,SMR04, ,< 1 day,0
1717,2003/04,S08000026, ,SMR04, ,1 - 7 days,0
1718,2003/04,S08000026, ,SMR04, ,8 - 28 days,0
1719,2003/04,S08000026, ,SMR04, ,29 days - 6 months,0
1720,2003/04,S08000026, ,SMR04, ,> 6 months,0
1721,2003/04,S08000026, ,Total,d,< 1 day,40
1722,2003/04,S08000026, ,Total,d,1 - 7 days,40
1723,2003/04,S08000026, ,Total,d,8 - 28 days,5
